,candidate,words,tags,tags_fixed
0,keep [pron] eye on,"‘ You know , the panda who keeps an eye on my drinking habits . ’",O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
1,keep [pron] eye on,But I will also be keeping an eye on you . ’,O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
2,keep [pron] eye on,"‘ I will keep an eye on him , ’ reassured Jack .",O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
3,keep [pron] eye on,"Moreover , international operations director Richard Ferry claims that the Bracknell , Berkshire-based company 's services are unique — although most rivals can offer centralised expertise , he says , no-one else can monitor computer systems remotely , or keep an eye on such critical issues as temperature and air conditioning levels at any given customer site .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,keep [pron] eye on,"Once Duncan had managed to fire off a report and stop his watch-replacement from stumbling on the terrorists , he had settled down to keep an eye on the gang .",O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
5,keep [pron] eye on,So we must keep an eye on Bruno Casanova . ’,O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
6,keep [pron] eye on,"Keep it in the quarantine tank , cease medication and keep an eye on it for the next few months .",O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
7,keep [pron] eye on,"‘ As you can see from the state of this place , I have someone call in regularly to keep an eye on it .",O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
8,keep [pron] eye on,Mary organized the plates and kept an eye on his carving .,O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
9,keep [pron] eye on,"Keep an eye on your local press for details , or phone the Events Unit on during working hours , Monday to Friday , for further information .",B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
