,sentence_file,sentence,idiomatic_part,ip_start,ip_length,tags
0,sentence_1.txt,"How much of the forecast was genuine and how much was fixed, it is a moot point.",a moot point,67,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
1,sentence_10.txt,Aggie finally found the cat a good home and from that day onwards she had kept up a running battle with her mice.,running battle,84,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
2,sentence_1000.txt,"Hearthwares shall come, in case we need to fight our way out of some tight spot.",tight spot,69,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
3,sentence_1001.txt,"Brothers and sisters, the Maxwell scandal was only the tip of the iceberg.",tip of the iceberg,55,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
4,sentence_1004.txt,It would be' an unmitigated disaster' and a course the Government would never follow.,unmitigated disaster,16,20,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
5,sentence_1005.txt,Voice over Oxford's uphill battle against relegation continues tomorrow at Barnsley.,uphill battle,20,13,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
6,sentence_1006.txt,There will be no justice and no liberation until the vicious circle is broken and the tyranny of the family is smashed.,vicious circle,53,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,sentence_1009.txt,The Boozebuster went off without a hitch.,without a hitch,25,15,"[0, 0, 0, 0, 1, 1, 1]"
8,sentence_101.txt,It's steamed up between the layers is that what you're looking at.,steamed up,5,10,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,sentence_1012.txt,I'll batten down the hatches.,batten down the hatches,5,23,"[0, 1, 1, 1, 1]"
10,sentence_1013.txt,"It was a calculated risk to take a man without forensic experience, but we were looking for a manager primarily.",calculated risk,9,15,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,sentence_1014.txt,In addition it was to be hoped that Max could come up with some fairly definite cause of death; and it was even possible (if only just) that the surgeon might throw caution to the wind for once and volunteer a tentative approximation of the time it had actually happened.,throw caution to the wind,159,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,sentence_1015.txt,"Because when you do run across the road, you get to the other side, and you're thinking, good gracious, that was a close shave, I'll have to sit down for a minute, I think I'll have a cup of coffee or something.",close shave,115,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,sentence_1016.txt,Or do you wait till they tire of the taunting and go to release the victim when the coast is clear?,coast is clear,84,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
14,sentence_1017.txt,"Parents have been selected to become erm, relatively insensitive to signs of distress in the offspring, because erm, as where they cry wolf all the time, and as a result, erm, parents don't take crying as seriously in children as they do in adults.",cry wolf,131,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,sentence_1018.txt,Not everyone yearns to dice with death.,dice with death,23,15,"[0, 0, 0, 0, 1, 1, 1]"
